ID	Ime Recepta	Kategorija	Sastojci (Lista za kupovinu)	Koraci Pripreme (Instrukcije)			
1	Klasična Sarma	Tradicionalno Jelo	Mleveno meso (1 kg), listovi kiselog kupusa (25), pirinač (100g), luk (1 gl.), dimljena slanina (100g), aleva paprika, so, biber.	(1) Na ulju propržiti luk, dodati meso i dinstati. (2) Umešati pirinač, začine. (3) Filovati listove kupusa nadevom. (4) Složiti sarme u šerpu sa slaninom/rebrima. (5) Naliti vodom i kuvati lagano 3-4 sata.			
2	Piletina u Krem Sosu od Pečuraka	Glavno Jelo (Piletina)	Pileći file (4), šampinjoni (200g), luk, pavlaka za kuvanje (200ml), bujon (100ml), maslac, so, biber, majčina dušica.	(1) Začiniti i pržiti piletinu, izvaditi je. (2) U isti tiganj dodati luk i šampinjone, dinstati. (3) Dodati bujon i pavlaku, kuvati dok se ne zgusne. (4) Vratiti piletinu u sos, krčkati 5 min.			
3	Brzi Kolač sa Jabukama	Desert	Jabuke (4), jaja (2), šećer (150g), ulje (100ml), mleko (100ml), brašno (200g), prašak za pecivo, cimet.	(1) Narendati jabuke, pomešati sa šećerom i cimetom. (2) Umutiti jaja sa šećerom, dodati ulje i mleko. (3) Umešati brašno i P.P. (4) Izliti polovinu testa, staviti jabuke, preliti ostatkom testa. (5) Peći na 180∘C oko 35 min.			
4	Pohovane Tikvice sa Tzatziki Sosom	Prilog/Predjelo	Tikvice (2), brašno, jaja, prezle, ulje za prženje. Sos: Grčki jogurt (200g), krastavac (1), beli luk, maslinovo ulje.	(1) Tikvice iseći na kolutove, posoliti, pa osušiti. (2) Panirati u brašno, jaja, prezle. (3) Pržiti u ulju. (4) Sos: Narendati isceđen krastavac i pomešati sa jogurtom, belim lukom i začinima.			
5	Paradajz Čorba (Kremasta)	Supa/Čorba	Pasirani paradajz (500ml), voda/bujon (500ml), luk (1), beli luk, maslinovo ulje, šećer, bosiljak.	(1) Na ulju dinstati luk. Dodati beli luk. (2) Uliti paradajz i vodu. Dodati šećer i začine. (3) Krčkati 15-20 minuta. (4) Po želji izmiksati štapnim mikserom.			
6	Lazanje Bolonjeze	Glavno Jelo (Testenina)	Mleveno meso (500g), pasirani paradajz (400g), listovi lazanja, mleko (500ml), brašno, maslac, kačkavalj (200g), luk, šargarepa, celer.	(1) Napraviti Bolonjeze sos. (2) Napraviti Bešamel sos (maslac, brašno, mleko, muskatni oraščić). (3) Slagati u tepsiju: bešamel - testo - bolonjeze - bešamel. (4) Peći na 200∘C oko 35 min sa sirom na vrhu.			
7	Grčka Salata (Horiatiki)	Salata	Paradajz (2), krastavac (1), crveni luk (1), paprika (1), Feta sir (100g), masline (15). Dressing: Maslinovo ulje, vinsko sirće, origano.	(1) Povrće iseći na krupnije komade. (2) Pomešati sastojke za dresing. (3) Pomešati povrće i masline. (4) Preliti dresingom. (5) Na vrh staviti komad Feta sira i posuti origanom.			
8	Posni Gulaš od Pečuraka	Posno Jelo	Šampinjoni (500g), crni luk (2), beli luk, aleva paprika, brašno (2 kaš.), bujon (500ml), lovorov list.	(1) Dinstati crni luk. Dodati šampinjone i dinstati dok ne ispari voda. (2) Dodati brašno i alevu papriku. (3) Postepeno uliti bujon, začiniti. (4) Krčkati 30 min dok se ne zgusne.			
9	Palačinke (Osnovni Recept)	Desert/Doručak	Jaja (3), brašno (250g), mleko (500ml), gazirana voda (100ml), šećer, so, ulje.	(1) Umutiti jaja, šećer i so. (2) Naizmenično dodavati brašno i mleko. (3) Umešati ulje i gaziranu vodu. (4) Peći u zagrejanom tiganju.			
10	Kremasta Pasta sa Brokolijem	Testenina	Testenina (300g), brokoli (300g), pavlaka za kuvanje (200ml), krem sir (100g), beli luk, maslinovo ulje.	(1) Skuvati testeninu, pred kraj dodati brokoli. Sačuvati vodu. (2) Na ulju dinstati beli luk. Dodati pavlaku i sir, otopiti. (3) Pomešati testeninu, brokoli i sos.			
11	Ćufte u Paradajz Sosu	Glavno Jelo	Mleveno meso (500g), prezle, jaje, paradajz pire/pasirani (500ml), luk, beli luk, lovor, šećer.	(1) Pomešati meso, jaje, prezle, začine i oblikovati ćufte. (2) Propržiti ih. (3) Dinstati luk, dodati paradajz, lovor, šećer, začine. (4) Vratiti ćufte u sos i krčkati 20-30 min.			
12	Turski Pilav sa Piletinom	Glavno Jelo	Piletina (file/batak) (500g), pirinač (300g), bujon (600ml), luk, šargarepa, grašak, ulje, so, biber, kurkuma.	(1) Piletinu iseći i propržiti, izvaditi. (2) Dinstati luk i šargarepu. (3) Dodati pirinač, kurkumu i bujon. (4) Vratiti piletinu i grašak. (5) Krčkati poklopljeno dok pirinač ne upije tečnost.			
13	Pasulj Prebranac (Praznični)	Tradicionalno Jelo	Beli pasulj (500g), crni luk (3 velike glavice), aleva paprika, ulje (dosta), so, biber, lovor.	(1) Skuvati pasulj, baciti prvu vodu. (2) Dinstati sitno seckani luk. Umešati alevu papriku. (3) Ređati u vatrostalnu posudu: pasulj - luk - pasulj - luk. (4) Naliti uljem i vodom da bude prekriveno. Peći na 200∘C dok ne porumeni (oko 1h).			
14	Tortilje sa Piletinom (Fajitas)	Brzo Jelo	Tortilje (8), pileći file (400g), crvena/zelena paprika (2), luk (1), začin za fajitas, ulje.	(1) Piletinu i povrće iseći na trakice. (2) U tiganju propržiti piletinu, pa dodati povrće. (3) Začiniti. (4) Zagrejati tortilje. (5) Puniti tortilje pripremljenim nadevom.			
15	Krem Čorba od Pečuraka	Supa/Čorba	Šampinjoni (400g), luk (1), bujon (800ml), pavlaka za kuvanje (100ml), maslac, brašno (1 kašika), so, biber.	(1) Dinstati luk na maslacu, dodati seckane pečurke. (2) Kada voda ispari, dodati brašno. (3) Postepeno ulivati bujon, mešati. (4) Kuvati 15 min, pa dodati pavlaku. (5) Izmiksati štapnim mikserom.			
16	Musaka sa Krompirom	Tradicionalno Jelo	Mleveno meso (500g), krompir (1 kg), luk, jaja (2), mleko (100ml), ulje, so, biber, suvi začin.	(1) Krompir iseći na tanke kolutove. (2) Napraviti nadev: propržiti luk, dodati meso i začine. (3) Ređati u tepsiju: krompir - nadev - krompir. (4) Umutiti jaja i mleko i preliti musaku. Peći na 200∘C oko 45 min.			
17	Riblja Čorba (A la Bačka)	Specijalitet	Riba (šaran/som) (1kg), luk (2), paprika (1), paradajz (1), aleva paprika (ljuta i slatka), voda, so, ulje.	(1) Dinstati luk i papriku. Dodati alevu papriku i seckani paradajz. (2) Dodati isečenu ribu i vodu. (3) Kuvati na jačoj vatri 30-40 min, bez mešanja (samo protresati šerpu). (4) Posoliti.			
18	Pečeni Krompirići sa Ruzmarinom	Prilog	Krompir (1 kg), maslinovo ulje (dosta), beli luk (4 čena), svež ruzmarin, so, biber.	(1) Krompir očistiti i iseći na kriške ili četvrtine. (2) Pomešati ulje, beli luk, ruzmarin, so i biber. (3) Uvaljati krompir u mešavinu i raširiti na pleh. (4) Peći na 220∘C oko 30-40 min, dok ne porumeni.			
19	Svinjski Kotleti u Senf Sosu	Glavno Jelo (Svinjetina)	Svinjski kotleti (4), dižon senf (2 kaš.), pavlaka za kuvanje (150ml), bujon (100ml), ulje, so, biber.	(1) Kotlete posoliti i pobiberiti. Propržiti ih na ulju sa obe strane, izvaditi. (2) U tiganj dodati senf i bujon, prokuvati. (3) Umešati pavlaku, kuvati dok se ne zgusne. (4) Vratiti kotlete u sos i krčkati 5-10 min.			
20	Rižoto sa Morskim Plodovima	Specijalitet	Pirinač Arborio (300g), mešavina morskih plodova (300g), luk (1), beli luk, belo vino (100ml), bujon (800ml), maslac, parmezan.	(1) Dinstati luk i beli luk. Dodati pirinač. (2) Preliti vinom. Postepeno dodavati topao bujon uz stalno mešanje. (3) Kada je pirinač skoro kuvan, dodati morske plodove i krčkati 5-7 min. (4) Umešati maslac i parmezan.			
21	Grilovano Povrće sa Balsamico Prelivom	Vegansko/Prilog	Tikvice (2), paprika (2), patlidžan (1), maslinovo ulje, so, biber, suvi bosiljak. Preliv: Balsamico krema.	(1) Povrće iseći na deblje trake. Premazati uljem, posoliti, pobiberiti. (2) Grilovati ili peći na roštilju dok ne omekša. (3) Poslužiti preliveno Balsamico kremom.			
